310,109.684788,Bruce Almighty
27578,77.580661,The Expendables
954,75.290998,Mission: Impossible
70160,68.550698,The Hunger Games
45243,58.040149,The Hangover Part II
364,59.113174,Batman Returns
7518,36.32705,Over the Hedge
11544,55.659988,Lilo & Stitch
9986,14.132583,Charlotte's Web
8656,34.070054,Deep Impact
146216,44.34333,RED 2
9291,26.065735,The Longest Yard
55301,23.473004,Alvin and the Chipmunks: Chipwrecked
109418,45.589568,Grown Ups 2
11665,23.496054,Get Smart
6964,16.939441,Something's Gotta Give
11324,81.914696,Shutter Island
12193,19.500893,Four Christmases
9928,29.558157,Robots
754,46.075037,Face/Off
10202,23.531721,Bedtime Stories
4147,49.078546,Road to Perdition
50546,37.02665,Just Go with It
1701,45.154631,Con Air
13027,46.887983,Eagle Eye
2289,24.598479,Cold Mountain
20504,32.363538,The Book of Eli
9574,11.50396,Flubber
11618,19.375768,The Haunting
2300,36.125715,Space Jam
12096,25.450534,The Pink Panther
10200,41.890722,The Day the Earth Stood Still
8834,22.179658,Conspiracy Theory
228150,139.575085,Fury
6068,18.264635,Six Days Seven Nights
41515,11.187696,Yogi Bear
9023,41.670544,Spirit: Stallion of the Cimarron
38317,27.46264,Zookeeper
2157,17.455024,Lost in Space
14462,21.394281,The Manchurian Candidate
161795,0.605645,Déjà Vu
159824,61.692197,Hotel Transylvania 2
49948,14.530946,Fantasia 2000
2135,25.978555,The Time Machine
9822,6.643778,Mighty Joe Young
9705,36.788745,Swordfish
1656,31.054334,The Legend of Zorro
12159,21.891078,What Dreams May Come
9678,18.335992,Little Nicky
4442,40.138009,The Brothers Grimm
75,44.090535,Mars Attacks!
330770,3.300061,Evolution
9433,20.632673,The Edge
19959,36.664991,Surrogates
11973,18.26121,Thirteen Days
11228,16.681269,Daylight
77951,10.088006,Walking With Dinosaurs
5491,7.89147,Battlefield Earth
10715,16.715631,Looney Tunes: Back in Action
10197,9.357734,Nine
9562,11.22268,Timeline
9922,14.564667,The Postman
9447,11.356079,Babe: Pig in the City
274854,52.612025,The Last Witch Hunter
8870,13.800656,Red Planet
9992,27.097932,Arthur and the Invisibles
36970,10.706613,Oceans
10077,7.342892,A Sound of Thunder
76649,50.561849,Pompeii
293644,0.719996,Top Cat Begins
453,59.248437,A Beautiful Mind
8587,90.457886,The Lion King
