490,65,"2010-11-30","2012-07-13"
190,65,"2010-10-20","2012-07-13"
323,39,"2012-05-15","2012-08-28"
323,64,"2011-10-11","2012-05-04"
323,38,"2011-06-12","2011-06-23"
323,39,"2011-03-02","2011-06-11"
10,19,"2010-10-07","2012-08-31"
371,65,"2010-10-18","2012-07-13"
3,65,"2010-10-19","2012-07-13"
247,65,"2010-12-08","2012-07-13"
340,65,"2011-01-08","2012-07-13"
116,65,"2011-02-19","2012-07-13"
84,65,"2011-04-25","2012-07-13"
547,65,"2010-11-03","2011-07-01"
25,65,"2010-11-25","2011-08-17"
6,65,"2011-03-01","2011-05-01"
33,65,"2011-03-05","2011-08-30"
56,65,"2010-11-09","2011-10-07"
47,65,"2010-10-27","2011-10-08"
468,40,"2010-04-30","2012-01-18"
244,40,"2010-03-13","2012-01-18"
343,40,"2010-05-21","2011-02-16"
335,23,"2011-03-12","2011-06-04"
391,23,"2011-01-09","2011-06-04"
345,23,"2011-01-09","2011-06-04"
284,23,"2010-08-07","2011-01-12"
89,68,"2010-08-08","2010-10-29"
200,33,"2010-08-27","2012-10-24"
303,33,"2010-08-27","2012-11-08"
155,9,"2000-05-12","2010-09-07"
208,69,"2010-02-08","2010-09-08"
140,25,"2010-06-30","2010-11-12"
89,30,"2010-11-28","2011-01-20"
149,39,"2010-03-26","2010-12-11"
213,64,"2013-02-02","2013-08-14"
119,131,"2010-12-11","2011-08-13"
164,22,"2010-03-24","2011-01-04"
121,25,"2010-07-05","2011-01-04"
174,19,"2011-01-29","2011-05-01"
89,33,"2011-01-20","2011-09-21"
787,68,"2010-06-06","2011-02-24"
192,22,"2010-10-13","2011-02-28"
192,75,"2011-02-28","2011-08-18"
103,75,"2011-03-11","2011-09-06"
261,39,"2010-03-27","2011-03-25"
1004,4,"2011-07-18","2012-09-23"
787,76,"2011-03-31","2011-09-15"
184,76,"2011-04-10","2011-09-02"
777,76,"2011-04-16","2011-08-02"
26,30,"2011-04-03","2011-07-19"
139,22,"2011-05-07","2012-05-09"
231,69,"2010-04-21",
172,22,"2010-03-24","2011-05-13"
665,34,"2010-05-21","2011-05-20"
295,39,"2010-04-15","2011-06-11"
295,38,"2011-06-11","2012-05-15"
282,39,"2010-05-23","2011-06-11"
282,38,"2011-06-11","2012-05-15"
243,39,"2010-10-26","2011-06-11"
266,39,"2010-04-05","2011-06-12"
170,77,"2011-06-15","2012-02-17"
235,77,"2011-06-15","2012-02-17"
170,39,"2010-03-22","2011-06-11"
235,39,"2010-06-27","2011-06-11"
270,45,"2011-04-09","2011-06-15"
223,16,"2011-03-18","2011-06-24"
181,16,"2010-10-11","2011-06-24"
343,64,"2011-06-25","2012-03-28"
174,19,"2011-07-09","2011-09-08"
223,1,"2011-07-11","2012-03-05"
126,16,"2011-01-05","2011-07-20"
128,68,"2010-06-26","2011-07-26"
195,7,"2012-05-21",
131,31,"2010-12-09","2011-07-31"
332,80,"2010-09-12","2011-07-31"
332,75,"2011-08-01","2011-11-01"
390,81,"2010-06-05","2011-08-01"
227,68,"2010-07-17","2011-08-04"
11,81,"2010-05-23","2011-08-10"
27,34,"2010-09-01","2011-08-14"
156,34,"2010-04-02","2011-08-23"
103,26,"2011-09-06","2012-06-02"
8,7,"2011-07-02","2011-09-07"
174,34,"2011-09-08","2012-07-16"
19,3,"2010-12-23","2011-09-14"
19,16,"2011-09-23","2012-12-22"
150,21,"2011-06-03","2011-09-15"
150,22,"2011-09-15","2012-07-22"
167,76,"2011-04-24","2011-09-15"
221,76,"2011-05-10","2011-09-15"
221,37,"2011-09-22","2012-05-07"
417,38,"2010-09-22","2011-09-18"
89,38,"2011-09-21","2011-12-08"
34,81,"2011-09-30","2012-05-15"
265,38,"2011-01-27","2011-10-03"
128,64,"2011-10-07","2012-12-04"
108,21,"2011-03-28","2011-10-27"
81,81,"2010-07-05","2011-10-28"
593,55,"2011-10-30","2012-01-25"
192,78,"2011-10-31","2012-03-23"
188,78,"2011-10-31","2012-03-23"
180,34,"2010-04-02","2011-11-01"
514,37,"2011-11-09","2012-09-05"
184,79,"2011-11-04","2012-02-27"
532,77,"2011-07-08","2011-11-05"
71,4,"2011-07-18","2011-11-05"
71,77,"2011-11-05","2012-02-17"
542,83,"2011-11-08","2012-01-27"
136,3,"2010-11-30","2011-11-17"
570,84,"2011-11-18","2012-05-05"
240,30,"2011-08-02","2011-11-23"
153,85,"2009-09-20","2011-11-23"
153,30,"2011-11-23","2012-03-02"
180,25,"2011-11-23","2012-06-15"
122,16,"2010-10-09","2011-11-28"
46,16,"2010-12-20","2011-11-28"
113,16,"2010-10-27","2011-11-28"
89,64,"2011-12-08","2012-07-30"
828,64,"2011-12-22","2012-12-04"
225,3,"2010-12-19","2012-01-04"
225,78,"2012-01-04","2012-03-23"
332,67,"2012-01-06",
274,78,"2011-08-10","2012-01-10"
979,78,"2011-08-22","2012-01-11"
36,81,"2010-08-08","2012-01-13"
136,78,"2012-01-15","2012-03-23"
87,46,"2012-01-18","2012-07-22"
70,34,"2012-01-17","2012-11-12"
106,16,"2011-03-13","2012-01-18"
218,7,"2011-04-30","2012-01-18"
42,16,"2010-11-20","2012-01-18"
244,77,"2012-01-18","2012-02-17"
397,77,"2011-06-15","2012-01-18"
436,34,"2010-08-21","2012-01-18"
8,30,"2012-01-21","2012-07-02"
61,79,"2012-01-27","2012-07-14"
513,25,"2010-06-30","2012-01-28"
191,27,"2012-01-29","2012-08-01"
213,64,"2012-01-30","2012-12-21"
5,88,"2010-10-29","2011-07-18"
1000,34,"2012-02-19","2012-11-13"
79,34,"2012-03-19","2012-11-13"
693,34,"2012-01-12","2012-04-15"
599,34,"2011-09-18","2012-01-12"
1383,34,"2011-09-18","2012-01-12"
649,34,"2011-09-18","2012-01-12"
50,34,"2010-08-12","2011-02-25"
367,34,"2010-04-02","2010-10-22"
642,34,"2010-05-28","2010-09-10"
283,34,"2010-04-09","2010-09-10"
